time,latitude,longitude,altitude,speed,bearing,num_of_satellites,HDOP
52059,5442.3511,2518.6557,40.3,30.09,21.15,13,0.73
52100,5442.3582,2518.66,44,30.09,21.15,13,0.73
52100,5442.3582,2518.66,44,29.27,23.13,13,0.73
52101,5442.3653,2518.6655,47.4,29.27,23.13,13,0.73
52101,5442.3653,2518.6655,47.4,29.96,22.79,13,0.73
52102,5442.3726,2518.6714,49.6,29.96,22.79,13,0.73
52102,5442.3726,2518.6714,49.6,30.18,24.33,13,0.73
52103,5442.3801,2518.6774,51.9,30.18,24.33,12,0.76
52103,5442.3801,2518.6774,51.9,30.11,24.6,12,0.76
52104,5442.3875,2518.6836,54.4,30.11,24.6,12,0.76
52104,5442.3875,2518.6836,54.4,30.81,25.42,12,0.76
52105,5442.3947,2518.6897,57.2,30.81,25.42,13,0.73
52105,5442.3947,2518.6897,57.2,31.49,24.15,13,0.73
52106,5442.4024,2518.6962,59.5,31.49,24.15,13,0.73
52106,5442.4024,2518.6962,59.5,30.41,24.55,13,0.73
52107,5442.4101,2518.7026,61.5,30.41,24.55,13,0.73
52107,5442.4101,2518.7026,61.5,31.61,23.97,13,0.73
52108,5442.418,2518.7087,63.5,31.61,23.97,12,0.79
52108,5442.418,2518.7087,63.5,31.64,24.29,12,0.79
52109,5442.4258,2518.7154,65.4,31.64,24.29,13,0.73
52109,5442.4258,2518.7154,65.4,30.98,24.89,13,0.73
52110,5442.4336,2518.7218,67.3,30.98,24.89,12,0.79
52110,5442.4336,2518.7218,67.3,30.92,24.6,12,0.79
52111,5442.4414,2518.7281,68.8,30.92,24.6,12,0.85
52111,5442.4414,2518.7281,68.8,30.37,23.87,12,0.85
52112,5442.4492,2518.7339,69.8,30.37,23.87,13,0.73
52112,5442.4492,2518.7339,69.8,29.38,24.23,13,0.73
52113,5442.4567,2518.74,70.8,29.38,24.23,13,0.73
52113,5442.4567,2518.74,70.8,28.97,22.19,13,0.73
52114,5442.4643,2518.7451,71.7,28.97,22.19,13,0.73
52114,5442.4643,2518.7451,71.7,27.95,24.52,13,0.73
52115,5442.4714,2518.7508,72.5,27.95,24.52,13,0.79
52115,5442.4714,2518.7508,72.5,26.58,23.86,13,0.79
52116,5442.4783,2518.7566,73.4,26.58,23.86,13,0.79
52116,5442.4783,2518.7566,73.4,26,25.31,13,0.79
52117,5442.4849,2518.7619,73.8,26,25.31,13,0.73
52117,5442.4849,2518.7619,73.8,26.55,23.67,13,0.73
52118,5442.4916,2518.767,74.3,26.55,23.67,13,0.73
52118,5442.4916,2518.767,74.3,26.52,24.04,13,0.73
52119,5442.4982,2518.7724,75.1,26.52,24.04,13,0.73
52119,5442.4982,2518.7724,75.1,27.47,23.98,13,0.73
52120,5442.5051,2518.7779,75.4,27.47,23.98,13,0.73
52120,5442.5051,2518.7779,75.4,27.8,25.76,13,0.73
52121,5442.5121,2518.7835,75.8,27.8,25.76,13,0.73
52121,5442.5121,2518.7835,75.8,28.88,23.76,13,0.73
52122,5442.5192,2518.7891,75.9,28.88,23.76,13,0.73
52122,5442.5192,2518.7891,75.9,28.28,24.82,13,0.73
52123,5442.5262,2518.7948,75.8,28.28,24.82,13,0.73
52123,5442.5262,2518.7948,75.8,28.31,24.5,13,0.73
52124,5442.5333,2518.8003,75.8,28.31,24.5,13,0.73
52124,5442.5333,2518.8003,75.8,29.32,24.73,13,0.73
52125,5442.5405,2518.8061,75.7,29.32,24.73,12,0.79
52125,5442.5405,2518.8061,75.7,30.24,25.37,12,0.79
52126,5442.548,2518.8121,75.6,30.24,25.37,13,0.73
52126,5442.548,2518.8121,75.6,31.02,24.43,13,0.73
52127,5442.5555,2518.8179,76.7,31.02,24.43,13,0.73
52127,5442.5555,2518.8179,76.7,31.28,23.28,13,0.73
52128,5442.5634,2518.8239,76.4,31.28,23.28,13,0.73
52128,5442.5634,2518.8239,76.4,31.33,25.73,13,0.73
52129,5442.5713,2518.8302,76.2,31.33,25.73,12,0.76
52129,5442.5713,2518.8302,76.2,32.08,23.59,12,0.76
52130,5442.5793,2518.8363,75.9,32.08,23.59,12,0.75
52130,5442.5793,2518.8363,75.9,31.15,25.05,12,0.75
52131,5442.5874,2518.8423,75.6,31.15,25.05,12,0.75
52131,5442.5874,2518.8423,75.6,30.86,22.87,12,0.75
52132,5442.5952,2518.8481,75.6,30.86,22.87,13,0.73
52132,5442.5952,2518.8481,75.6,29.26,21.37,13,0.73
52133,5442.6029,2518.8532,75.6,29.26,21.37,13,0.73
